GameResult,Team,GameLength,Win_Champion_kill,Lose_Champion_kill,Win_Money,Lose_Money,Win_in_Attack_num,Lose_in_Attack_num,Win_out_Attack_num,Lose_out_Attack_num,Win_CS_Count,Lose_CS_Count
패배,블루팀,24분 24초,60,65,"82,509","81,472","135,717","157,563","169,547","143,807",279,306
패배,블루팀,18분 58초,46,35,"66,280","63,706","109,953","85,285","95,278","118,075",226,227
승리,블루팀,22분 23초,52,54,"76,222","74,720","133,500","142,691","153,855","143,465",249,274
승리,레드팀,18분 45초,45,48,"65,470","64,888","96,401","97,423","107,653","105,010",191,180
승리,블루팀,20분 18초,64,51,"74,834","69,814","172,084","128,909","141,790","181,462",229,229
패배,레드팀,9분 5초,33,21,"39,334","34,122","52,426","40,301","43,285","57,222",88,102
패배,레드팀,18분 14초,63,42,"66,988","63,540","128,292","124,512","139,308","138,395",159,163
승리,레드팀,12분 40초,44,27,"50,154","42,397","77,190","51,864","68,914","79,442",134,101
패배,레드팀,16분 38초,35,33,"58,076","55,668","83,574","96,472","105,682","89,495",178,203
패배,블루팀,14분 8초,36,20,"50,387","45,747","78,927","64,052","69,676","84,152",140,152
패배,블루팀,19분 8초,54,38,"68,632","60,932","109,750","94,147","104,515","116,229",182,184
승리,레드팀,14분 40초,33,21,"51,246","45,988","63,101","42,448","46,627","65,556",175,135
패배,레드팀,13분 7초,26,19,"45,004","41,234","50,220","53,667","57,905","51,601",147,133
패배,레드팀,15분 2초,36,26,"54,155","47,928","73,091","63,610","69,531","75,433",182,154
패배,블루팀,16분 21초,36,22,"57,330","51,162","74,630","61,443","65,847","77,164",191,180
승리,블루팀,25분 7초,47,46,"82,714","80,449","115,282","135,324","151,809","121,278",345,313
승리,레드팀,24분 40초,53,66,"83,756","86,716","179,221","177,379","192,870","191,679",297,314
승리,블루팀,16분 37초,42,25,"58,947","52,778","97,964","58,645","63,848","103,792",197,180
패배,블루팀,21분 49초,66,49,"80,828","75,565","191,796","129,306","139,602","202,526",298,276
승리,블루팀,22분 9초,43,53,"73,481","74,570","139,004","142,859","153,369","143,807",260,264
승리,블루팀,21분 58초,45,34,"73,429","69,622","129,546","112,333","118,551","136,506",254,243
패배,레드팀,27분 17초,41,46,"84,557","82,954","124,854","128,349","144,032","133,637",278,321
승리,레드팀,24분 23초,54,58,"81,921","79,988","156,153","162,055","175,854","166,433",286,234
패배,블루팀,17분 4초,29,37,"58,243","54,192","80,458","71,508","85,756","87,047",205,172
패배,레드팀,15분 10초,37,26,"54,600","47,544","92,637","72,189","82,695","95,823",193,141
패배,블루팀,12분 23초,40,17,"46,181","40,079","74,945","50,142","53,734","77,515",151,128
승리,블루팀,23분 7초,58,53,"79,715","78,913","152,048","134,704","145,892","158,551",279,264
패배,블루팀,20분 8초,44,39,"68,739","64,574","87,971","89,361","96,140","92,939",238,237
패배,블루팀,19분 18초,47,44,"67,054","63,147","110,321","101,627","112,235","117,911",212,186
패배,레드팀,14분 59초,42,34,"55,364","50,276","87,806","61,939","65,947","92,231",163,148
승리,블루팀,23분 18초,54,54,"76,962","73,472","112,934","108,716","124,953","116,029",246,279
승리,블루팀,15분 53초,55,38,"60,031","53,801","114,783","79,160","87,803","131,697",163,136
패배,블루팀,21분 5초,42,46,"75,031","69,315","109,330","127,118","133,780","118,343",239,232
승리,레드팀,22분 4초,58,45,"75,350","70,358","120,139","151,743","163,986","131,267",236,246
승리,블루팀,19분 28초,36,33,"63,512","60,239","81,451","94,748","98,945","89,752",223,201
